,title,text
431,were the world mine,were the world mine music  romance love  potion  would  make  fall  madly  timothy  prone  escaping  dismal  high  school  reality  dazzling  musical  daydreams  gets  answer  question  real  way  eccentric  teacher  casts  puck  midsummer  night  dream  stumbles  upon  recipe  hidden  within  script  create  play  magical  purple  pansy
432,phantom of the mall: eric's revenge,phantom of the mall: eric's revenge horror guy  called  eric  hense  title  owns  huge  house  greedy  people  want  build  mall  get  someone  burn  badly  burned  dead  year  later  opens  realise  living  underneath  angry
433,saajan,saajan romance  drama  foreign orphaned  poor  handicapped  aman  befriended  rich  wealthy  akash  verma  childhood  introduces  parents  rajiv  kamla  adopt  give  family  name  grow  brothers  lot  similar  habits  characteristics  save  womanizer  gets  writing  poems  sagar  published  popular  one  fans  young  woman  pooja  saxena  correspond  next  months  meets  falls  head  heels  love  comes  know  asks  pose  saagar  fall  heartbroken  looks  knows  although  women  may  like  anyone  come  openly  see  handicap
434,j.a.c.e.,j.a.c.e. drama twice  orphaned  jace  seven  year  old  albanian  greek  origin  witnesses  massacre  wipes  entire  foster  family  argyrokastron  falls  hands  bunch  ruthless  gangsters  export  children  abroad  various  profitable  reasons  ranging  beggary  organ  trade  ).  ends  athens  greece  begging  street  corners  exploring  secret  horrors  brutal  institutions  young  offenders  much  later  serving  obscure  patrons  underworld  violent  loss  seems  destiny  movie  follows  inverted  odyssey  dark  universe  abuse  murder  fear  desperately  silently  seeks  least  sense  belonging
435,and now the screaming starts,and now the screaming starts horror  thriller late  18th  century  two  newlyweds  move  stately  mansion  husband  charles  fengriffen  bride  catherine  falls  victim  curse  placed  wronged  servant  family  descendants
436,you're killing me susana,you're killing me susana  journey  educated  man  mexico  city  center  united  states  rigid  society  frigid  winter  inner  face  contradictions  love  wife  macho  baggage  carries  voyage  growth  funny  painful
437,letters to father jacob,letters to father jacob drama  foreign options  newly  pardoned  convict  leila  agrees  work  assistant  blind  pastor  father  jacob  spends  days  answering  letters  needy  finds  pointless  stop  devastated  cast  new  role
438,allied,allied action  drama  war  romance  thriller 1942  intelligence  officer  north  africa  encounters  female  french  resistance  fighter  deadly  mission  behind  enemy  lines  reunite  london  relationship  tested  pressures  war
439,twilight of the dark master,twilight of the dark master fantasy  animation  science fiction  foreign tsunami  ancient  gaurdian  fom  days  long  ago  mother  spirit  created  daemons  gaurdians  aid  fledgling  human  race  becomes  involved  woman  lost  fiance  arm  wants  figure  happened  meanwhile  daemon  leader  still  alive  plotting  enslave  mankind  defend  earth  corrupted  two  ...
440,factory,factory documentary masculine  feminine  hard  soft  continues  interrupted  whole  fragmented  encompassed  one  day  factory
441,tales from the hood,tales from the hood crime  horror  thriller strange  funeral  director  tells  four  tales  horror  african  american  focus  three  drug  dealers  traps  place  business
442,russell brand: messiah complex,russell brand: messiah complex comedy recorded  live  hammersmith  apollo  russell  questions  values  heroes  leaders  ‘  messiah  complex  ’  disorder  sufferers  think  might  jesus  che  guevara  gandhi  malcolm  x  hitler  men  shaped  lives  influenced  way  images  used  represent  ideas  often  relate  would  apple  endorse  madonna  christianity  concludes  load  rubbish  encourages  audience  stop  voting  ignore  advertising  look  transcendent  within  others  ...  kick  bins  home  plus  sex  obviously
443,delta force 3: the killing game,delta force 3: the killing game action  adventure terrorist  places  atom  bomb  somewhere  american  metropolis  president  u  choice  call  delta  force
444,a woman's vengeance,a woman's vengeance drama  mystery clock  ticks  innocent  man  charles  boyer  faces  hanging  killing  wife
445,occupation 101,occupation 101 documentary thought  provoking  documentary  current  historical  causes  israeli  palestinian  conflict  u  political  involvement
446,a change of heart,a change of heart drama beneath  jim  marshall  veneer  american  father  husband  lies  long  suppressed  desire  ruin  idyllic  family  elaine  jean  smart  catches  lover  hotel  room  anger  quickly  turns  shock  discovers  paramour  young  man  ensues  painful  soul  searching
447,bandwagon,bandwagon comedy  drama tony  gets  fired  job  really  sad  prefers  writing  songs  playing  guitar  meets  drummer  charlie  decide  start  band  although  afraid  front  people  even  play  find  another  guitarist  wynn  enjoys  fishing  final  member  eric  bass  player  often  unpredictable  actions  name  circus  monkey  want  get  famous  rich  however  successful  gigs  begin  realize  big  music  show  business
448,11:14,11:14 crime  drama  thriller tells  seemingly  random  yet  vitally  connected  story  set  incidents  converge  one  evening  11  14pm  follows  chain  events  five  different  characters  storylines  tell  murder  deceit
449,redacted,redacted drama  war redacted  film  written  directed  brian  de  palma  fictional  drama  loosely  based  mahmudiyah  killings  iraq
450,the biggest fan,the biggest fan comedy  romance young  girl  kayla  amariah  falls  love  chris  trousdale  popular  boys  band  dream  street  sweet  highly  comedic  hand  holding  romance
451,a very special favor,a very special favor comedy  romance long  lost  father  charles  boyer  frigid  uptight  freudian  psychologist  leslie  caron  contracts  wealthy  american  playboy  owes  favor  woo  daughter
452,"gas, inspector palmu!","gas, inspector palmu!  prequel  komisario  palmun  erehdys  1960  )   huge  success  producer  j  särkkä  forgot  reserve  filming  rights  mika  waltari  palmu  novel  kuka  murhasi  rouva  skrofin  "".  mauno  mäkelä  bought  kaasua  1961  filmed  fennada  filmi"
453,pioneer heroes,pioneer heroes drama olga  katya  andrey  known  since  childhood  moved  moscow  many  years  ago  become  successful  actress  works  large  scale  pr  agency  political  analyst  buy  cars  take  mortgages  build  country  houses  like  everybody  else  lives  bring  neither  happiness  content  feeling  something  right  put  finger  underpins  today  thirty  year  olds  took  place  soviet  era  kids  dreamed  becoming  heroes  believed  spy  stories  bright  future  yet  nobody  expected  dream  hero  would  replaced  stable  predictable  existence  people  stopped  dreaming  truly  grand  things  play  roles
454,once my mother,once my mother history  documentary  war  family australian  filmmaker  sophia  turkiewicz  investigates  polish  mother  abandoned  uncovers  truth  behind  wartime  escape  siberian  gulag  leaving  confront  capacity  forgiveness
455,monsterman,monsterman documentary  drama film  monster  lapland  mr  lordi  winning  eurovision  song  contest  loses  everything  almost
456,restless souls,restless souls horror  drama young  couple  daughter  move  rambling  old  house  soon  increasingly  alarming  string  events  supernatural  disturbances  connects  series  unsolved  murders  committed  three  years  earlier  living  witnesses  long
457,the clown and the kid,the clown and the kid  clown  kid  1961  film  moko  keefer  passes  away  newly  orphaned  son  shawn  michael  mcgreevey  takes  mysterious  wanderer  peter  john  lupton  )   two  strangers  become  close  friends  partners  closely  guarded  secret  rips  apart
458,the powerpuff girls movie,the powerpuff girls movie animation  action  family powerpuff  girls  movie  tells  origin  story  created  came  defenders  townsville  first  hanna  barbera  cartoon  network  studios  theatrical  feature  film  since  1993  upon  forest  based  series  released  theatrically
459,ld 50 lethal dose,ld 50 lethal dose horror formed  coded  message  web  site  group  animal  rights  activists  set  free  imprisoned  colleague  terrifying  ordeal  rescue  mission  leads  disused  lab  simple  raid  turns  series  twisted  mind  bending  incidents  caged  switch  places  tormented  psychological  horror
460,bert: the last virgin,bert: the last virgin family  comedy  romance film  based  series  immensely  popular  swedish  children  books  boy  bert  hitting  puberty  usual  problems  ends  abruptly
461,forty little mothers,forty little mothers drama work  professor  gets  break  old  college  buddy  teach  exclusive  girl  school  events  conspire  finds  abandoned  child  takes  wing  despite  rules  teachers  family  girls  resent  replacing  handsome  popular  teacher  everything  power  get  fired
462,murder ahoy,murder ahoy drama  thriller  crime  mystery  comedy annual  board  trustees  meeting  one  dies  miss  marple  thinks  ’  poisoned  finding  chemical  sets  investigate  ship  come  fourth  final  film  series  starring  margaret  rutherford  quirky  amateur  detective
463,the eiger sanction,the eiger sanction action  adventure  crime  drama  mystery  thriller classical  art  professor  collector  doubles  professional  assassin  coerced  retirement  avenge  murder  old  friend
464,soccer dog 2: european cup,soccer dog 2: european cup family soccer  dog  european  cup  opens  titular  hero  kimble  escaping  clutches  evil  scientist  bent  performing  animal  experiments  plucky  canine  falls  hands  zack  jake  thomas  )   american  boy  brought  scotland  death  mother  reunited  father  never  knew  brian  nick  moran  ).  bumpy  introduction  son  eventually  connect  playing  together  unusually  nimble  storms  onto  field  one  day  lives  change  forever
465,the white knights,the white knights drama jacques  arnault  head  sud  secours  ngo  planning  high  impact  operation  team  going  exfiltrate  300  orphan  victims  chadian  civil  war  bring  french  adoption  applicants  françoise  dubois  journalist  invited  come  along  handle  media  coverage  completely  immersed  brutal  reality  country  members  start  losing  convictions  faced  limits  humanitarian  intervention
466,pony soldier,pony soldier western duncan  macdonald  19th  century  royal  canadian  mountie  escort  group  cree  indians  back  border  reservation  guide  endeavor  trustworthy  half  breed  natayo
467,nightmare man,nightmare man comedy  horror  thriller receiving  mysterious  demonic  african  mask  mail  ellen  morris  attacked  refers  nightmare  man  doctors  husband  william  believe  paranoid  schizophrenic  needs  spend  quality  time  mental  facility  examination
468,inglourious basterds,inglourious basterds drama  action  thriller  war nazi  occupied  france  world  war  ii  group  jewish  american  soldiers  known  basterds  chosen  specifically  spread  fear  throughout  third  reich  scalping  brutally  killing  nazis  lead  lt  aldo  raine  soon  cross  paths  french  teenage  girl  runs  movie  theater  paris  targeted
469,survivor,survivor science fiction  action  fantasy search  habitable  planet  last  living  humans  crash  land  barren  world  inhabited  bloodthirsty  aliens  mysterious  post  apocalyptic  warriors
470,platoon leader,platoon leader drama  war west  point  graduate  lieutenant  jeff  knight  meets  cynicism  taking  command  sergeant  michael  mcnamara  tour  veterans  platoon  vietnamese  trench  camp  unlike  predecessor  hid  till  end  takes  charge  experiences  manual  allow  coping  realities  gets  wounded  returns  fully  respect  men  superiors  besides  vietcong  wrestles  inscrutable  villagers  g  officially  protect  also  fear  collaborate  covertly  cong  either  way  subject  bloody  reprisals
471,ju-on: black ghost,ju-on: black ghost horror nurse  named  yuko  ai  kago  strange  experience  taking  care  girl  fukie  test  results  show  cyst  inside  ’  body  actually  leftover  grudge  baby  unable  born  spreads  everyone  around  soon  father  goes  mad  commits  murder  sister  mariko  special  spiritual  power  together  mother  success  driving  evil  spirit  worst  yet  come
472,sepultura: under siege (live in barcelona),sepultura: under siege (live in barcelona) music  documentary brazilian  speed  thrash  death  metal  band  sepultura  legendary  extreme  degree  delve  depths  genre  always  striving  louder  faster  deadlier  metaphorically  course  )   inspired  countless  number  modern  bands  well  legions  obsessive  fans  seige  filmed  live  zeleste  barcelona  spain  nearly  hour  ten  songs
473,california city,california city drama  documentary films  follows  man  post  apocalyptic  environment  housing  crisis  mojave  desert  job  rid  pools  foreclosed  homes  unwanted  pests  road  isolated  region  reflects  alternative  ways  living  finds  solitude  california  city  hybrid  film  fluidly  crosses  borders  fiction  documentary  essay  form  narrator  state  mind  feature  elements  impressionistic  use  images  photos  narration
474,hero's island,hero's island action  adventure  drama family  shipwrecked  island  must  deal  escaped  convicts  pirates
475,my favorite martian,my favorite martian comedy  drama  family  science fiction news  producer  tim  hara  gets  fired  unwillingly  compromising  bosses  daughter  live  transmission  little  later  witnesses  crashing  small  martian  spacecraft  realizing  one  time  chance  delivering  story  rock  earth  since  took  original  scaled  spaceship  follows  retrieve
476,what?,what? comedy young  american  woman  traveling  italy  finds  strange  mediterranean  villa  nothing  seems  right
477,"duck, you sucker","duck, you sucker western beginning  1913  mexican  revolution  greedy  bandit  juan  miranda  idealist  john  h  mallory  irish  republican  army  explosives  expert  lam  british  fall  band  revolutionaries  plotting  strike  national  bank  turns  government  using  hiding  place  illegally  detained  political  prisoners  --  freed  blast  becomes  revolutionary  hero"
478,eddie: the sleepwalking cannibal,eddie: the sleepwalking cannibal horror  comedy famous  painter  rediscovers  inspiration  befriends  sleepwalking  cannibal
479,last chance harvey,last chance harvey drama  comedy  romance london  daughter  wedding  struggling  jingle  writer  harvey  shine  misses  plane  new  york  thus  loses  job  drowning  sorrows  airport  pub  meets  kate  british  government  worker  stuck  endless  cycle  work  phone  calls  mother  blind  dates  connection  forms  unhappy  pair  soon  find  falling  love
480,anything else,"anything else comedy  romance jerry  falk  aspiring  writer  new  york  falls  love  first  sight  free  spirited  young  woman  named  amanda  heard  phrase  life  like  anything  else   ""  soon  finds  unpredictable"
481,sam kinison: why did we laugh?,sam kinison: why did we laugh? documentary  comedy fans  comedy  sam  kinison  needs  introduction  scathing  tackled  tough  topics  comedian  dared  touch  fed  disenfranchised  career  pentacostal  preacher  left  ministry  try  hand  almost  immediately  thanks  part  foresight  rodney  dangerfield  showcased  hbo  special  piercing  scream  extreme  humor  irreverent  take  life  attracted  attention  containing  rare  early  footage  preaching  performing  stand  world  famous  store  award  winning  laugh  tells  story  comedic  genius  touched  deeper  chord  people  entertainers  sadly  taken  us  far  yet  leaving  lasting  unique  legacy
482,tour de force,tour de force drama  comedy belgium  places  got  besides  chocolates  fries  matter  year  hannes  kiki  turn  choose  destination  annual  bike  tour  closest  friends  looks  forward  adventure  know  counts  time  spend  together  begun  tells  suffering  incurable  disease  trip  last  first  group  shocked  helpless  hit  road  embark  wild  one  kind  realize  precious  life  equipped  list  things  still  remain  aware  nothing  celebrate  never
483,the whole town's talking,the whole town's talking comedy  crime  drama ordinary  man  street  arthur  ferguson  jones  leads  straightforward  life  never  late  work  nothing  interesting  ever  happens  one  day  everything  changes  oversleeps  fired  example  mistaken  evil  criminal  killer  mannion  arrested  resemblance  striking  police  give  special  pass  avoid  similar  mistake  real  sees  opportunity  steal  move  around  freely  chaos  results
484,bo burnham: make happy,bo burnham: make happy music  comedy combining  trademark  wit  self  deprecating  humor  original  music  bo  burnham  offers  unique  twist  life  stand  special  death  sexuality  hypocrisy  mental  illness  pringles  cans
485,the brave one,the brave one crime  drama  thriller woman  struggles  recover  brutal  attack  setting  mission  revenge
486,kissin' cousins,kissin' cousins comedy  music  romance army  officer  returns  smoky  mountains  tries  convince  kinfolk  allow  build  missile  site  land  gets  discovers  lookalike  cousin
487,day of wrath,day of wrath drama  romance 17th  century  danish  village  old  woman  accused  witchcraft  shadow  flight  capture  confession  burning  stake  young  wife  town  aging  pastor  falls  love  son  illicit  affair  husband  brings  death  funeral  mother  denounces  widow  witch  lover  come  defense  day  wrath  returned
488,speed 2: cruise control,speed 2: cruise control action  adventure  thriller sandra  bullock  jason  patric  star  young  couple  whose  dream  cruise  turns  terror  lunatic  computer  genius  willem  dafoe  sets  new  course  destruction
489,eyes of laura mars,eyes of laura mars drama  horror  mystery  thriller famous  fashion  photographer  develops  disturbing  ability  see  eyes  killer
490,stranded: i've come from a plane that crashed on the mountains,stranded: i've come from a plane that crashed on the mountains documentary  foreign first  time  ever  survivors  famous  1972  andes  plane  crash  tell  words  harrowing  story  survival
491,tom and huck,tom and huck action  adventure  drama  family mischievous  young  boy  tom  sawyer  witnesses  murder  deadly  injun  joe  becomes  friends  huckleberry  finn  future  family  choose  honoring  friendship  oath  town  alcoholic  accused  huck  go  several  adventures  trying  retrieve  evidence
492,laura lansing slept here,laura lansing slept here comedy glittering  cast  includes  katharine  hepburn  karen  austin  lead  roles  laura  lansing  slept  humorous  family  movie  plays  novelist  undergoes  identity  crisis  despite  fame  fortune  feels  something  missing  life  entering  quest  return  degree  normalcy  attempts  provide  many  comedic  moments  well  salient  lesson  famous  author
493,platinum data,platinum data drama  mystery set  year  2017  japanese  government  attempts  secretly  control  dna  people
494,antigang,antigang action  drama french  police  unit  try  stop  group  criminals
495,snow white and the seven dwarfs,"snow white and the seven dwarfs fantasy  animation  family beautiful  girl  snow  white  takes  refuge  forest  house  seven  dwarfs  hide  stepmother  wicked  queen  jealous  wants  known  fairest  land   ""  beauty  surpasses"
496,tarzan and the lost city,tarzan and the lost city action  adventure tarzan  returns  homeland  africa  save  home  destruction
497,stromboli,stromboli drama end  world  war  ii  karen  young  displaced  woman  lithuania  marries  italian  fisherman  antonio  get  away  internment  camp  life  island  stromboli  threatened  volcano  tough  one  cannot  used  film  mainly  famous  love  affair  ingrid  bergman  director  roberto  rossellini  started  production
498,praying with lior,praying with lior  praying  lior  asks  whether  someone  syndrome  spiritual  genius  many  believe  close  god  --  least  family  community  though  also  burden  best  friend  inspiration  embarrassment  depending  asked  documentary  moves  climax  must  pass  gateway  manhood  bar  mitzvah
499,the rolling stones: cocksucker blues,the rolling stones: cocksucker blues documentary  music story  stones  1972  tour
500,and you thought your parents were weird!,and you thought your parents were weird! family  science fiction two  boys  follow  late  fathers  foot  steps  inventing  weird  wonderful  gadgets  trouble  lies  ahead  halloween  party  spirit  father  ends  latest  invention  robot
501,this must be the place,this must be the place drama bored  retired  rock  star  sets  find  father  executioner  ex  nazi  war  criminal  refugee  u
502,since otar left,since otar left drama one  joy  lives  mother  daughter  comes  regular  letters  sent  paris  family  adored  son  otar  finds  died  suddenly  tries  conceal  truth  changing  course  forever
503,the killing of john lennon,"the killing of john lennon crime  drama film  follows  travels  accounts  mark  chapman  jonas  ball  gives  watcher  insight  mind  starts  hawaii  fit  anyone  including  job  family  friends  etc  says  searching  purpose  life  direction  seeks  refuge  public  library  finds  book  catcher  rye  "".""  becomes  obsessed  believes  protaganist  holden  caulfield  ideas  reflect  personal  anywhere  reads  constantly  another  beatles  singer  john  lennon  begins  hatred"
504,i'll cry tomorrow,i'll cry tomorrow drama deprived  normal  childhood  ambitious  mother  katie  jo  van  fleet  )   lillian  roth  susan  hayward  becomes  star  broadway  hollywood  twenty  shortly  marriage  sweetheart  david  tredman  ray  danton  dies  takes  first  drink  many  road  becoming  alcoholic
505,taxi 4,taxi 4 action  comedy extradited  africa  stand  trial  notorious  belgian  criminal  entrusted  marseilles  police  department  less  24  hours  wily  crook  convinces  bumbling  policeman  emilien  lowly  embassy  employee  got  railroaded  brilliant  master
506,tarzan,tarzan adventure  animation  drama  family tarzan  small  orphan  raised  ape  named  kala  since  child  believed  family  expedition  jane  porter  rescued  finds  human  must  make  decision  belong  ...
507,the witches of eastwick,the witches of eastwick fantasy  horror  comedy three  single  women  picturesque  village  wishes  granted  cost  mysterious  flamboyant  man  arrives  lives
508,the ice dragon,the ice dragon  adventure  mick  aged  11  quest  new  home  runs  away  ice  dragon  owns  cat  factory  befriends  brothers  bengt  bertil  falls  love  first  time  eventually  finds  way
509,ishq vishk,ishq vishk drama  comedy  romance rajiv  mathur  decides  go  conditionally  steady  fellow  collegian  payal  permitted  outing  accepts  accompanies  gets  intoxicated  attempts  molest  dump  thereafter  slighted  beaten  turns  charms  another  beauty  gorgeous  alisha  sahay  permissible
510,o,"o drama  romance  thriller hot  young  stars  hip  driving  soundtrack  plus  provocative  tale  jealousy  betrayal  combine  create  controversial  modern  day  version  shakespeare  classic  othello  .""  odin  james  mekhi  phifer  )   school  star  basketball  player  future  nba  hopeful  even  though  black  student  elite  palmetto  grove  academy  ..."
511,my louisiana sky,my louisiana sky drama  family girl  comes  terms  mentally  challenged  parents
512,life for two,"life for two comedy writer  pierre  carot  became  rich  famous  book  life  couple  ""   based  loving  relationships  four  couples  setting  wants  leave  wealth  among  still  deeply  love  else  companions  get  money  sends  visit  test"
513,lay the favorite,lay the favorite drama  comedy former  stripper  talent  numbers  lands  job  professional  gambler  runs  sports  book  las  vegas
514,take out,take out drama  foreign illegal  chinese  immigrant  falls  behind  payments  enormous  smuggling  debt  ming  ding  end  day  come  money
515,highlander v: the source,highlander v: the source action  fantasy  science fiction world  falling  chaos  roams  crumbling  city  duncan  macleod  highlander  remembers  happier  times  love  life  left  ...  hopeless  alone  finds  way  band  immortal  companions  including  mysterious  friend  methos  mortal  watcher  joe  dawson  together  small  group  sets  quest  find  origin  first
516,highway to hellas,highway to hellas comedy life  jorg  geissner  german  banker  totally  transforms  visit  paladiki  island  greece  business  trip  check  project  called  “  galapagos  ”  islanders  bank  extended  loan  credit  brought  wants  investigate  thoroughly  panos  mini  mart  owner  mayor  try  utmost  sabotage  —  camouflage  good  reality  every  single  trial  resulted  nothing  ’  secret  meddling  becomes  elongated  like  odyssey  forcing  contemplate  priorities  responsibilities
517,the end of evangelion,"the end of evangelion animation  drama  science fiction nerv  faces  brutal  attack  seele  asuka  coma  shinji  nervous  breakdown  things  soon  turn  surreal  movie  provides  concurrent  ending  final  two  episodes  show  neon  genesis  evangelion  ""."
518,the year that trembled,the year that trembled war  drama  romance year  trembled  1970  coming  age  story  set  shadow  kent  state  focuses  group  young  characters  facing  vietnam  draft  lottery
519,the ring,the ring drama jack  sander  bob  corby  boxers  love  mabel  wed  marriage  flat  young  wife  looks  comfort
520,fat guy goes nutzoid,"fat guy goes nutzoid  plot  revolves  around  two  brothers  befriend  escaped  mental  patient  accompany  misadventures  big  city  new  low  bad  comedy  flicks  humor  title  fat  guy  goes  nutzoid  .""  rest  somewhere  vomiting  auschwitz  joke  enormous  amount  body  hair  display"
521,a lawless street,a lawless street action  western marshal  must  face  unpleasant  facts  past  attempts  run  criminal  gang  town
522,now and forever,now and forever drama  romance young  freewheeling  wanderer  jerry  day  beautiful  wife  toni  odds  lifestyle  accept  responsibility  yearns  family  settled  life  days  rediscover  daughter  pennie  living  rich  deceased  appears  needs  mend  swindling  ways  lead  straight  despite  new  swayed  corruptible  influence  jewelry  thief  felix  evans  lures  job  puts  continuation  risk
523,alien abduction: incident in lake county,alien abduction: incident in lake county drama  horror  science fiction mysterious  blackout  son  goes  investigate  captures  footage  actual  aliens  follow  brothers  back  home  hell  breaks  lose
524,natural selection,natural selection comedy  drama dutiful  albeit  barren  christian  housewife  discovers  devout  husband  suffered  stroke  sperm  bank  secretly  donating  seed  past  25  years  leaves  sheltered  world  starts  journey  find  eldest  biological  son  mullet  headed  foul  mouthed  ex  con  develops  odd  meaningful  relationship
525,grimm,grimm drama  comedy  adventure one  cold  winter  day  jacob  sister  marie  abandoned  wood  work  father  jacket  finds  letter  mother  urging  go  brother  spain  turns  uncle  dead  meets  diego  wealthy  charming  spanish  surgeon  falls  love  lives  sick  domineering  teresa  astonishment  wants  marry  even  wedding  taken  place  jealous  tries  get  away  succeed  starts  provoke  law  soon  transpires  unpunished
526,wrong side up,wrong side up comedy  drama man  deals  parcels  airport  cargo  company  finds  likes  planes  people
527,lost river,lost river fantasy  thriller single  mother  swept  dark  underworld  teenage  son  discovers  road  leads  secret  underwater  town
528,a journey through fairyland,a journey through fairyland fantasy  family  animation boy  son  famous  musicians  kicked  music  university  spends  much  time  tending  plants  flower  fairy  helps  thanks  treatment
529,the fox,the fox drama two  women  live  quiet  life  farm  rural  canada  surprised  visit  former  tenant  ’  grandson
530,blood of the beasts,blood of the beasts documentary  horror early  example  ultra  realism  movie  contrasts  quiet  bucolic  life  outskirts  paris  harsh  gory  conditions  inside  nearby  slaughterhouses  describes  fate  animals  workers  graphic  detail
531,wool 100%,wool 100% animation  comedy  fantasy  foreign  science fiction drama  two  aging  women  live  solitary  life  collecting  discarded  items  nearby  town  one  day  return  home  find  young  girl  knitting  red  sweater  house  time  finishes  dress  promptly  unravels  mystery  unfolds  directed  mai  tominaga
532,anne of green gables,anne of green gables drama  family turn  century  prince  edward  island  matthew  cuthbert  sister  marilla  decide  take  orphan  boy  help  farm  get  unexpected  jolt  mistakenly  sent  girl  instead  anne  shirley  dreamer  unusual  point  view  far  removed  pragmatic  ways  trial  agrees  keep
533,it's a bird,it's a bird  charlie  working  junkjard  always  trying  help  people  impossible  ways  junk  work  place  hears  german  professor  bird  belgish  kongo  eats  metal  sets  ridiculous  hunting  expedition  catch  one  music  birds  love  strange  worm  able  even  offers  top  surprises
534,all we had,all we had drama mother  struggles  make  better  life  daughter
535,welcome home brother charles,welcome home brother charles action  thriller one  man  wronged  racist  law  enforcement  system  takes  highly  unusual  route  street  justice  bizarre  expressive  urban  drama  definitely  ordinary  70s  blaxploitation  feature  soul  vengeance  released  theatrically  welcome  home  brother  charles  three  films  jamaa  fanaka  wrote  produced  directed  studying  film  production  u  c  l  two  black  sister  revenge  also  known  emma  mae  first  installment  popular  penitentiary  series  ).  mark  deming  rovi
536,mordkommission berlin 1,mordkommission berlin 1 crime crime  movie  directed  marvin  kren
537,the haunted world of el superbeasto,the haunted world of el superbeasto animation  horror  action  comedy haunted  world  el  superbeasto  animated  comedy  also  combines  elements  horror  thriller  film  based  upon  comic  book  series  created  rob  zombie  follows  character  sexy  sidekick  sister  suzi  x  voiced  sheri  moon  confront  evil  villain  name  dr  satan
538,the roots of heaven,"the roots of heaven adventure  drama fort  lamy  french  equitorial  africa  idealist  morel  launches  one  man  campaign  preserve  african  elephant  extinction  sees  last  remaining  roots  heaven  .""  first  finds  support  minna  hostess  town  night  club  love  derelict  ex  british  army  major  forsythe  crusade  gains  momentum  soon  surrounded  odd  assortment  characters  cy  sedgewick  american  tv  commentator  becomes  impressed  rallies  world  wide  u  photographer  abe  fields  sent  picture  story  stays  follow  ideals  saint  denis  government  aide  ordered  stop  orsini  professional  ivory  hunter  whose  vested  interests  waitari  leader  pan  movement  follows  personal  good"
539,cops & robbersons,cops & robbersons action  comedy  family hard  nails  cop  jake  stone  moves  robbersons  watch  hitman  moved  next  door  one  thing  survive  robberson  family
540,ernest in the army,ernest in the army comedy  family ernest  p  worrell  military  soldier  begins  team  investigates  dictator  responsible  wars  nearly  village  suddenly  finds  lost  boy  keep  safe  father  recovers
541,angèle and tony,angèle and tony romance angèle  beautiful  young  woman  past  arrives  small  fishing  harbor  normandy  meets  tony  professional  fisherman  finds  attracted  although  dislikes  blunt  ways  hires  fishmonger  lodges  teaches  tricks  trade  relationships  myriam  mother  far  easy  gradually  adapts  new  environment  little  manage  tame
542,l,l drama  thriller  foreign man  lives  car  ’  40  separated  wife  kids  live  different  meet  parking  lots  professional  driver  delivers  honey  narcoleptic  often  dreams  friend  killed  hunter  mistook  bear  frequently  late  delivering  fired  driving  skills  questioned  thrust  existential  uncertainty  abandons  “  life  ”  joins  rogue  motorbike  gang
543,teen lust,teen lust comedy shy  high  schooler  struggles  lose  virginity  local  satanic  cult  sacrifice  devil
544,"yes, madam","yes, madam action  foreign asprin  mang  hoi  strepsil  john  shum  )   two  petty  thieves  inadvertently  become  involved  murder  case  steal  items  belonging  murdered  man  hidden  important  microfilm  passport  pass  onto  forger  friend  panadol  tsui  hark  ).  inspector  ng  michelle  yeoh  assigned  along  morris  cynthia  rothrock  scotland  yard  investigation  leads  cops  bumbling  crooks  soon  triad  leader  tin  james  tien  tail  stop  nothing  get  incriminating  film  back  hitman  bodyguard  dick  wei  side  proves  much  inspectors  catch  using  legal  means  frustration  give  badges  go  alone"
545,isle of fury,isle of fury adventure island  fugitive  humphrey  bogart  bride  margaret  lindsay  make  room  shipwrecked  detective  donald  woods  ).
546,joyride,joyride comedy  drama  thriller three  excitement  craving  friends  get  bargained  steal  hit  woman  automobile
547,terror train,terror train horror  thriller masked  killer  targets  six  college  kids  responsible  prank  gone  wrong  three  years  earlier  currently  throwing  large  new  year  eve  costume  party  aboard  moving  train  riding  coattails  resurgent  boom  horror  films  success  halloween  terror  features  teeth  chattering  direction  roger  spottiswoode  pristine  cinematography  john  alcott  story  basic  slasher  film  premise  remounted  fraternity  decides  hold  uninvited  guest  disturbed  ex  member  take  revenge  partying  students  killing  one  increasingly  grisly  fashion
548,the way west,the way west action  adventure  drama  western mid  19th  century  senator  william  j  tadlock  leads  group  settlers  overland  quest  start  new  settlement  western  us  highly  principled  demanding  taskmaster  hard  joined  wagon  train  clashes  one  lije  evans  quite  appreciate  ways  along  way  families  must  face  death  heartbreak  sampling  frontier  justice  accidentally  kills  young  indian  boy
549,the mysterious house of dr. c.,"the mysterious house of dr. c. drama mysterious  house  dr  c  1976  rarely  seen  reworked  version  1966  coppelius  dance  film  based  classic  19th  century  leo  delibes  ballet  coppelia  .""  contains  poorly  received  songs  narration  animation  sequences  original"
550,cassadaga,cassadaga horror  thriller deaf  girl  attempts  contact  sister  séance  connect  ghost  murdered  woman
