,title,text
190,home page,home page documentary look  early  days  online  culture  personified  college  student  justin  hall  acknowleged  web  ’  first  blogger  called  “  groundbreaking  ”  roger  ebert  film  screened  sundance  rotterdam  sxsw  thessaloniki  full  frame  festivals  among  others  broadcast  hbo  ifc  throughout  europe  limited  theatrical  release
191,guns,guns action  crime south  american  gunrunner  uses  island  hawaii  base  operations  squad  beautiful  government  agents  sent  put  business
192,hababam sınıfı sınıfta kaldı,hababam sınıfı sınıfta kaldı  hababam  sinifi  basically  movie  based  novel  rifat  ilgaz  telling  story  class  lazy  high  school  pranksters  presents  entertaining  moments  years  feel  deep  nostalgia  days  life  fun  teenagers  going  entertainment  cheating  literature  exams  smoking  mens  room  playing  hookey  football  game  best  lives  brilliantly  incredibly  funny  contains  heart  breaking  emotional  well
193,shaun the sheep movie,shaun the sheep movie family  animation  comedy  adventure shaun  decides  take  day  fun  gets  little  action  bargained  mix  farmer  caravan  steep  hill  lead  big  city  flock  return  everyone  safely  green  grass  home
194,blindside,blindside thriller  romance harvey  keitel  plays  penfield  gruber  great  scientist  reduced  managing  sleazy  hotel  monitors  daily  comings  goings  tenants  mainly  interest  underworld  figures  ask  spy  suspected  double  crosser  watching  man  overhears  murder  plot
195,dr. ketel,dr. ketel thriller berlin  ’  notorious  neukoelln  district  near  future  time  health  system  collapsed  man  works  shadows  without  license  doctor  practice  appointments  treats  people  courtyards  streets  –  everywhere  needed  stealing  medicine  pharmacies  nobody  knows  name  day  caretaker  shabby  tenement  building  pushes  boundaries  suffers  defeats  cost  last  strength  forced  adopt  role  shadow  outlaw  confronted  question  whether  really
196,the happening,the happening thriller  science fiction deadly  airborne  virus  threatens  wipe  northeastern  united  states  teacher  elliott  moore  mark  wahlberg  wife  zooey  deschanel  flee  contaminated  cities  countryside  fight  discover  truth  terrorism  accidental  release  toxic  military  bio  weapon  --  something  even  sinister  john  leguizamo  betty  buckley  co  star  thriller  writer  director  night  shyamalan
197,the biggest battle,the biggest battle drama  war story  world  war  ii  affected  lives  german  family  american  sons  fathers  fighting
198,wedding in blood,"wedding in blood thriller  drama  crime lucienne  delamare  pierre  maury  affair  husband  paul  mayor  french  deputy  wife  clotilde  weak  sickly  years  holds  excitement  always  away  paris  business  vice  thanks  secret  meeting  spot  lake  along  country  lane  dies  suddenly  suicide  town  gossips  believe  confesses  otherwise  proposes  shady  land  deal  benefit  ""   wants  political  support  collusion  discovers  proof  ..."
199,sex is zero,sex is zero comedy  drama sunjong  university  students  serious  including  eun  hyo  works  hard  aerobics  hopes  well  national  competition  goof  drinking  partying  focusing  sex  shik  law  student  military  older  socially  inept  likes  even  though  earnest  simple  side  appeals  juvenile  excesses  make  irrelevant  sung  ok  good  looking  rich  kid  charms  begin  affair  leaving  sidelines  approaches  complications  arise
200,8 women,8 women comedy  thriller  music  crime  mystery eight  women  gather  celebrate  christmas  snowbound  cottage  find  family  patriarch  dead  knife  back  trapped  house  every  woman  becomes  suspect  motive  secret
201,quicksilver highway,quicksilver highway horror  thriller film  actually  two  one  hour  stories  first  based  stephen  king  story  called  chattering  teeth  man  picks  hitchhiker  second  clive  barker  body  politic  hands  rebel
202,bella bettien,"bella bettien crime  drama gripping  story  dutch  bettien  martens  based  true  facts  making  incredible  career  international  narcotics  world  1984  1992  arrested  piazza  navona  rome  one  targets  police  operation  green  ice  "".  decided  cooperate  testimonies  many  precious  arrests  made  became  pentita  guest  witness  protection  program"
203,the transporter refueled,the transporter refueled thriller  action  crime fast  paced  action  movie  set  criminal  underworld  france  frank  martin  known  transporter  best  driver  mercenary  money  buy  installment  meets  anna  attempt  take  group  ruthless  russian  human  traffickers  also  kidnapped  ’  father
204,outlander,outlander fantasy  action  science fiction reign  vikings  man  another  world  crash  lands  earth  bringing  alien  predator  must  fuse  advanced  technology  weaponry  fight  monster
205,an awfully big adventure,an awfully big adventure romance  drama  comedy awfully  big  adventure  1995  drama  film  theatre  company  liverpool  set  1947  based  1989  novel  name  beryl  bainbridge
206,café solo o con ellas,café solo o con ellas comedy javi  hugo  dani  pedro  four  friends  late  twenties  trying  make  life  cafe  buddies  meet  ups  downs  fast  paced  lives  full  basketball  games  night  partying  schemes  get  want  little  love  girl  loves
207,best boy,best boy documentary documentary  director  follows  day  activities  retarded  middle  aged  cousin  philly  three  year  period
208,hounddog,hounddog drama  family drama  set  american  south  precocious  troubled  girl  finds  safe  music  movement  elvis  presley
209,held up,held up comedy vacation  southwest  rae  finds  man  michael  spent  house  money  classic  car  dumps  hitching  ride  vegas  flight  home  kid  promptly  steals  leaving  zip  amp  sip  convenience  store  three  bumbling  robbers  stage  hold  two  take  cash  stranding  third  mysterious  crate  cops  arrive  robber  takes  hostage  incompetent  bring  swat  team  try  book  rescue  keep  calm  find  aid  negotiations  get  back  stockholm  syndrome  asserts  effect
210,face of terror,face of terror action  drama  thriller police  officer  searching  missing  sister  spain  uncovers  terrorist  cell
211,the city without jews,the city without jews drama republic  utopia  bad  economic  crisis  ailing  nation  jews  made  scapegoats  social  ills  affecting  population  therefore  government  decides  expel  leo  strakosch  among  exiled  engaged  counsellor  linder  daughter  gets  clandestine  way  show  society  wrongness  anti  semitic  prejudice
212,god's pocket,god's pocket drama boozy  lowlife  philip  seymour  hoffman  tries  bury  truth  crazy  stepson  suspicious  death  nosy  newspaper  columnist  richard  jenkins  young  man  mother  complicate  matters
213,rover dangerfield,rover dangerfield animation  comedy  family rover  street  smart  dog  owned  las  vegas  showgirl  dumped  hoover  dam  boyfriend  rather  drowning  winds  basic  idyllic  farm  classic  city  boy  country  shtick  written
214,locusts: the 8th plague,locusts: the 8th plague drama  horror group  scientists  try  stop  swarm  flesh  eating  locusts  escape  top  secret  government  lab  usa  midwest
215,starman,starman action  adventure  romance  science fiction alien  takes  form  young  widow  husband  asks  drive  wisconsin  arizona  government  tries  stop
216,marc maron: more later,marc maron: more later comedy filmed  vic  theatre  chicago  marc  maron  later  captures  dishes  compelling  raw  wildly  honest  stand  brand  new  special  tackles  religion  relationships  rage  skype  sex  ice  cream  among  topics  sheerly  authentic  way
217,mon oncle antoine,mon oncle antoine comedy  drama set  cold  rural  quebec  christmas  time  follow  coming  age  young  boy  life  family  owns  town  general  store  undertaking  business  mon  oncle  antoine  director  claude  jutra  masterpiece  poignant  starkly  honest  humane  film  shot  authenticity  beginning  end  realized  unflagging  artistic  vision  poetically  portrays  vividly  capturing  mining  lives
218,crush the skull,crush the skull thriller  comedy  horror couple  master  thieves  find  trapped  within  house  intended  rob  discover  inadvertently  wandered  lair  deranged  serial  killer
219,lenny cooke,lenny cooke documentary 2001  lenny  cooke  hyped  high  school  basketball  player  country  ranked  future  greats  lebron  james  amar  ’  e  stoudemire  carmelo  anthony  decade  later  never  played  minute  nba  quintessentially  american  documentary  filmmaking  brothers  joshua  benny  safdie  track  unfulfilled  destiny  man  superstardom  reach
220,the pie-covered wagon,the pie-covered wagon  baby  burlesk  wagon  train  fight  indians
221,wild things,wild things thriller teen  socialite  kelly  van  ryan  richards  troubled  bad  girl  suzie  toller  campbell  accuse  guidance  counselor  sam  lombardo  dillon  rape  suspended  school  rejected  town  fighting  get  life  back  one  cop  bacon  suspects  conspiracy  nothing  seems  ...
222,vincent wants to sea,vincent wants to sea drama vincent  young  man  suffers  tourette  syndrome  lost  mother  father  successful  politician  want  take  care  therefore  places  mental  institution  put  room  alexander  guy  compulsive  disorder  shown  around  marie  anorectic  girl
223,i'll do anything,i'll do anything comedy  drama matt  hobbs  talented  unsuccessful  actor  estranged  strange  ex  wife  beth  dumps  daughter  jeannie  father  lot  adjusting  budding  relationship  attractive  production  assistant  cathy  breslow  made  complicated  precocious  child  overly  accustomed  getting  way  eventually  faces  choice  family  vs  career  particularly  difficult
224,other men's women,other men's women drama  romance railroad  fireman  bill  white  carefree  ladies  man  irresponsible  streak  buddy  jack  kulper  engineer  solid  reliable  comes  stay  wife  lily  fall  love  wishing  hurt  leaves  without  explanation  confronts  suspicions  two  fight  seriously  injured  consumed  guilt  tries  make  good  ideas
225,tired moonlight,tired moonlight  dawn  middle  aged  woman  lives  alone  small  town  montana  spends  days  working  maid  roadside  motel  scrounging  junk  purchases  local  storage  auctions  hoping  one  day  hit  jackpot  fund  travels  escape  humdrum  life  slowly  upended  paul  ramblin  man  past  rolls  like  tumbleweed  pitting  grand  landscapes  dinners  fried  chicken  roar  v8  engines  saturday  nights  tired  moonlight  explores  relationship  extravagant  nature  tiny  mundane  moments
226,hollow man,hollow man action  science fiction  thriller cocky  researcher  sebastian  caine  working  project  make  living  creatures  invisible  confident  found  right  formula  tests  soon  begins  vanish  problem  –  one  determine  visible  predicament  eventually  drives  mad  terrifying  results
227,for grace,for grace documentary curtis  duffy  teen  fought  stole  thrill  discovered  place  kitchen  home  economics  teacher  nurtured  talents  unimaginable  tragedy  involving  parents  doubled  cooking  career  soon  intense  drive  earned  accolades  one  country  renowned  chefs  began  building  dream  restaurant  chicago  called  grace  found  another  point  personal  crisis  laser  focus  cost  marriage  two  young  daughters  documentary  food  family  sacrifice  journey  concrete  box  opening  night  world  acclaimed  restaurants
228,superdad,superdad comedy dad  tries  impress  daughter  --  soon  college  student  thinks  hanging  around  bad  crowd
229,the thorn in the heart,the thorn in the heart documentary  foreign michel  gondry  chronicles  life  family  matriarch  aunt  suzette  relationship  son  jean  yves
230,the saga of biorn,the saga of biorn animation  comedy old  viking  determined  reach  valhalla  warrior  afterlife  full  excessive  drinking  debauchery  gain  entry  die  honorably  battle  discovers  right  death  easy
231,blue mountain state: the rise of thadland,blue mountain state: the rise of thadland comedy blue  mountain  state  football  star  thad  castle  recently  signing  multi  million  dollar  nfl  contract  teammates  college  life  seem  like  distant  memory  however  new  school  dean  threatens  clean  bms  image  auctioning  infamous  goat  house  alex  sammy  boys  must  find  way  convince  get  involved  despite  fortune  fame  one  small  favor  needs  done  saves  day  biggest  booze  sloot  fest  history  welcome  thadland
232,return of the ghostbusters,return of the ghostbusters comedy  fantasy  science fiction mile  high  city  rocked  ancient  egyptian  menace  comes  town  denver  ghostbusters  must  return  save  universe
233,the football factory,the football factory drama football  factory  study  english  obsession  violence  men  looking  armies  join  wars  fight  places  belong  forgotten  culture  anglo  saxon  males  fed  told  good  enough  using  fists  drug  describe  potent  sex  drugs  put  together
234,into the white,into the white action  drama white  anti  war  movie  high  harsh  norwegian  wilderness  english  german  pilots  shoot  ground  violent  chance  encounter  isolated  must  fight  survive  brutal  winter  though  made  enemies  antagonism  hard  maintain  days  go  mutual  need  unlikely  friendships  bloom  somehow  become  comrades  absurd
235,brothers: the return,brothers: the return crime  drama  thriller hoffa  floats  ashore  estonia  stolen  getaway  boat  exploded  tries  begin  new  life  longing  family  back  home  becomes  big  decides  get  sweden  tough  struggle  begins  moved  lives  also  thinks  dead  past  bank  robber  fugitive  making  journey  easier  along  way  problems  arise  makes  even  harder  meet  meantime  struggling  difficulties  know  solve  time  running  things  look  good
236,keeping up with the joneses,keeping up with the joneses action  comedy ordinary  suburban  couple  finds  ’  easy  keeping  joneses  –  impossibly  gorgeous  ultra  sophisticated  new  neighbors  especially  discover  mr  mrs  “  jones  ”  covert  operatives
237,the cheyenne social club,the cheyenne social club action  comedy  western two  cowboys  inherit  social  club  specializing  satisfying  men
238,annie laurie,annie laurie drama  romance story  famous  battle  scots  clans  macdonald  campbell  young  woman  comes  annie  laurie
239,paragraph 175,paragraph 175 history  documentary nazi  regime  widespread  persecution  homosexual  men  started  1871  paragraph  175  german  penal  code  thousands  murdered  concentration  camps  powerful  disturbing  documentary  narrated  rupert  everett  presents  first  time  largely  untold  testimonies  survived
240,winnie-the-pooh goes visiting,winnie-the-pooh goes visiting animation  family second  russian  winnie  pooh  series  one  piglet  visiting  rabbit  meal  honey
241,the bélier family,the bélier family comedy  drama  music whole  bélier  family  deaf  except  sixteen  year  old  paula  important  translator  parents  day  life  especially  comes  matters  concerning  farm  music  teacher  discovers  fantastic  singing  voice  gets  opportunity  enter  big  radio  france  contest  future  set  changes
242,the boost,"the boost drama  romance lenny  brown  moves  california  find  fortune  tax  shelter  investments  federal  government  changes  laws  poor  finds  700  000  hock  nowhere  turn  friend  joel  introduces  cocaine  give  needed  boost  "".  ensues  next  descent  drug  addiction  insanity  tries  regain  control  life  needing  extra"
243,the veil of twilight,the veil of twilight mystery  crime  fantasy investigation  mysterious  serial  killer  mountain  village  set  norway  mid  1300s
244,la sedia della felicità,la sedia della felicità comedy dino  craft  practice  tattoos  bruna  beautician  studies  facing  learn  mysterious  treasure  hidden  chair  belonged  woman  dead
245,barbarella,barbarella science fiction far  future  highly  sexual  woman  tasked  finding  stopping  evil  durand  along  way  encounters  various  unusual  people
246,one dark night,one dark night horror strange  man  named  karl  rhamarevich  dies  shortly  discovering  way  become  even  powerful  death  telekinesis  night  burial  crypt  julie  spend  part  initiation  rite  supervised  two  girls  becomes  scene  horror  raymar  returns  life  deploys  horrifying  telekinetic  powers
247,female,female drama  romance alison  drake  tough  minded  executive  automobile  factory  succeeds  man  world  business  meets  independent  design  engineer
248,bloodmoon,bloodmoon action  thriller ken  hara  gary  daniels  mindhunter  serial  killer  specialist  enlisted  find  mass  murderer  darren  shahlavi  intent  killing  strongest  fighters  new  york  city  trying  catch  cunning  clever  hardest  assignment  ever  moon  rising  must  use  resources  hunt  ....  may  next  die
249,trailer park of terror,trailer park of terror horror based  imperium  comics  series  trailer  park  terror  six  troubled  high  school  students  chaperon  optimistic  youth  ministries  pastor  return  outdoor  character  building  retreat  mountains  raging  storm  bus  crashes  hopelessly  stranding  middle  trucker  triangle  forgotten  locus  consummate  evil  nowhere
250,road to utopia,road to utopia comedy duke  amp  chester  ship  skagway  alaska  find  map  secret  gold  mine  stolen  thugs  mcgurk  sperry  meanwhile  sal  van  hoyden  try  recover  fathers  falls  ace  larson  wants  steal  henchmen  chase  countryside
251,mother lode,mother lode adventure  action  thriller couple  youngish  adventurers  go  wilderness  british  columbia  search  lost  colleague  plane  crashes  find  mercy  crazed  old  scottish  miner  lived  isolation  many  decades  searching  mountain  caves  chamber  long  gold  prepared  anything  including  murder  keep
252,last of the red hot lovers,last of the red hot lovers drama  comedy middle  aged  restaurateur  begins  feel  desire  roam  realizes  one  day  week  mother  apartment  empty  afternoon  makes  several  attempts  seduction  learn  much  complicated  difficult  could  imagined
253,the great scout & cathouse thursday,the great scout & cathouse thursday action  comedy  western sam  longwood  frontiersman  seen  better  days  spies  gold  mine  partner  jack  colby  ran  prospecting  fifteen  years  earlier  tells  partners  time  joe  knox  billy  confront  demanding  thousand  dollars  took  addition  fifty  nine  trouble  thwarted  attempt  would  whore  named  thursday  hatch  plan  kidnap  wife  nancy  sue  coincidently  old  flame  find  sweet  girl  remembers
254,china blue,china blue documentary china  blue  engrossing  documentary  tells  story  3  teenage  girls  leave  rural  homes  come  work  factory  makes  jeans
255,the education of mohammad hussein,the education of mohammad hussein  education  mohammad  hussein  intimate  look  largest  muslim  community  america  responds  provocations  anti  islamic  preacher  eyes  children  film  examines  like  come  age  united  states  ten  years  post  9  11
256,a bit of bad luck,a bit of bad luck comedy  thriller  drama brooks  caldwell  cary  elwes  erudite  handsome  lawyer  seems  wealth  social  status  red  hot  career  success  reality  product  marriage  beautiful  socialite  wife  amanda  terri  polo  wealthy  timber  heiress  unlike  would  remain  content  enjoy  life  luxury  privilege  continues  risk  everything  extramarital  affairs  philandering  addition  humiliating  driven  point  mental  breakdown  pushed  edge  orchestrates  elaborate  plan  bring  husband  leaves  weekend  romp  latest  squeeze  agnes  bruckner  quickly  descends  bizarre  nightmarish  downward  spiral
257,jud süß,"jud süß drama notorious  nazi  propaganda  historical  costume  melodrama  conniving  ambitious  jewish  businessman  süß  oppenheimer  snares  post  treasurer  duke  wurttemburg  showering  corrupt  treasure  promises  even  greater  riches  jew  schemes  grow  elaborate  actions  brazen  dukedom  nearly  erupts  civil  war  persuaded  scuttles  constitution  alienates  assembly  lifting  local  ban  jews  stuttgart  final  outrage  rapes  wholesome  german  girl  tortures  father  fiancée  succumbs  sudden  heart  attack  elders  try  sentence  death  carnal  knowledge  christian  woman  ""."
258,a master builder,a master builder drama successful  ego  maniacal  architect  spent  lifetime  bullying  wife  employees  mistresses  wants  make  peace  life  approaches  final  act
259,waiting for lightning,waiting for lightning documentary documentary  life  skateboarder  danny  way  attempt  jumping  great  wall  china  skateboard
260,a dangerous method,a dangerous method drama  thriller seduced  challenge  impossible  case  driven  dr  carl  jung  takes  unbalanced  yet  beautiful  sabina  spielrein  patient  ’  weapon  method  master  renowned  sigmund  freud  men  fall  spell
261,group sex,group sex comedy  romance herman  weakness  strip  clubs  donny  thing  condiments  tiffany  newly  celibate  martial  artist  andy  new  friends  unsuspectingly  follows  dream  girl  sexual  addiction  recovery  group  first  seems  like  best  possible  news  however  professional  personal  life  begins  unravel  deepens  ties  lovable  damaged
262,shirin in love,shirin in love comedy  romance despite  engaged  successful  iranian  plastic  surgeon  beverly  hills  shirin  finds  falling  mysterious  young  man  lives  lighthouse  northern  california
263,twixt,twixt horror  thriller writer  declining  career  arrives  small  town  part  book  tour  gets  caught  murder  mystery  involving  young  girl  night  dream  approached  mysterious  ghost  named  v  unsure  connection  grateful  story  handed  ultimately  led  truth  surprised  find  ending  life  could  ever  anticipated
264,lawn dogs,lawn dogs drama affluent  gated  community  camelot  gardens  bored  wives  indiscriminately  sleep  around  unwitting  husbands  try  desperately  climb  social  ladder  trent  21  year  old  outsider  mows  neighborhood  lawns  quietly  observes  infidelities  hypocrisies  overly  privileged  society  devon  10  daughter  one  family  forges  friendship  things  suddenly  get  complicated
265,made in dagenham,made in dagenham comedy  drama  history dramatization  1968  strike  ford  dagenham  car  plant  female  workers  walked  protest  sexual  discrimination
266,the dead girl,the dead girl mystery  drama  crime  thriller clues  young  woman  death  come  together  lives  seemingly  unrelated  people  begin  intersect
267,rapture-palooza,rapture-palooza comedy  fantasy  horror two  teens  battle  way  religious  apocalypse  mission  defeat  antichrist
268,the end of love,the end of love drama mark  struggling  actor  stuck  life  knew  one  waiting  mother  two  year  old  son  suddenly  passes  away  forced  confront  shortcomings  fates  intertwined  hang  balance  grapples  ability  grow  meets  lydia  young  longer  able  live  comfort  denial
269,narco cultura,narco cultura crime  documentary growing  number  mexicans  latinos  americas  narco  traffickers  become  iconic  outlaws  new  models  fame  success  represent  pathway  ghetto  nurturing  american  dream  fueled  war  drugs  cultura  looks  explosive  phenomenon  within  exposing  cycles  addiction  money  violence  rapidly  gaining  strength  sides  u  .-  mexico  border
270,the naked city,the naked city crime  drama  mystery  thriller naked  city  portrays  police  investigation  follows  murder  young  model  veteran  cop  placed  charge  case  sets  help  beat  cops  detectives  finding  girl  killer
271,innerspace,innerspace action  comedy  science fiction test  pilot  tuck  pendleton  volunteers  special  vessel  miniaturization  experiment  accidentally  injected  neurotic  hypochondriac  jack  putter  must  convince  find  ex  girlfriend  lydia  maxwell  help  extract  ship  enlarge  oxygen  runs
272,love me or leave me,love me or leave me drama  music  romance story  torch  singer  ruth  etting  rise  1920s  taxi  dancer  movie  star  simultaneously  aided  frustrated  chicago  mobster  marty  sydney  headstrong  ways  pressure  tactics
273,the four,the four action undercover  agent  assigned  corrupt  chief  infiltrate  rival  department  sabotage  investigation  counterfeit  currency  discovers  counterfeiter  real  plan  overthrow  capital  flooding  funny  money  army  undead
274,the ghost of yotsuya,the ghost of yotsuya horror ghost  samurai  wife  takes  revenge  husband
275,the groom,the groom comedy 9  may  german  comes  russia  marry  russian  beauty  alena  met  berlin  happy  couple  goes  village  meet  bride  ’  relatives  however  former  husband  tolya  also  way  unexpectedly  decided  get  wife  back  everything  turns  romantic  rivalry  involves  –  apart  helmut  friends  inhabitants  businessman  yerofeev  bought  house  neighbourhood  lost  tank  man  even  kite  meddle  events
276,the devil and max devlin,the devil and max devlin fantasy  comedy  science fiction  family max  dies  accident  goes  straight  hell  devil  barney  makes  offer  manages  get  three  innocent  youths  sell  souls  next  two  months  may  stay  earth  accepts  returns  equipped  special  powers  however  task  harder  expected  especially  7  years  old  tobi  demands  marry  mother  written  tom  zoerner
277,attack of the lederhosen zombies,attack of the lederhosen zombies comedy  horror steve  young  professional  snowboarder  ruins  high  paying  photo  shoot  playing  silly  prank  girlfriend  branka  fellow  joschi  left  behind  mountain  seek  shelter  après  ski  tavern  hosting  night  party  things  go  bad  worse  scientific  experiment  unleashes  epidemic  zombies  mutant  wildlife  mostly  lost  local  drunkards  always  easy  distinguish  find  way  survive  hellish
278,red dust,red dust drama sarah  barcant  lawyer  new  york  city  grew  south  africa  returns  childhood  dwelling  place  intercede  alex  mpondo  black  african  politician  tortured  apartheid
279,the care bears movie,the care bears movie adventure  fantasy  animation  comedy  science fiction  family care  bears  work  cut  nicolas  lonely  magician  assistant  fall  evil  influence  bad  spirit  lives  ancient  magic  book  --  seems  anything  friends  aside  kim  jason  trouble  starting  trust  people  suffering  many  disappointments
280,doctor who: a christmas carol,doctor who: a christmas carol  amy  pond  rory  williams  trapped  crashing  space  liner  way  eleventh  doctor  rescue  save  soul  lonely  old  miser  kazran  sardick  richest  man  sardicktown  beyond  redemption  lurking  fogs  christmas  eve
281,bergman island,bergman island documentary  foreign first  time  ever  film  maker  access  ingmar  bergman  home  small  island  fårö  baltic  sea  cinema  starts  frenzy  1944  ends  saraband  2003  contains  unique  behind  scenes  material  private  archive  theatre  125  theatrical  stagings  delight  tv  medium  successes  marriage  talks  childhood  shaped  shows  shot  persona  fell  love  lists  worst  demons
282,cocaine cowboys,cocaine cowboys action  documentary 1980s  ruthless  colombian  cocaine  barons  invaded  miami  brand  violence  unseen  country  since  prohibition  era  chicago  put  city  map  cowboys  true  story  became  drug  murder  cash  capital  united  states  told  people  made  happen
283,powder blue,powder blue drama several  angelenos  meet  christmas  eve  chance  tragedy  divine  intervention  swayze  play  sleazy  owner  strip  club  biel  character  dances  redmayne  portray  mortician  falls  love  kristofferson  head  corporate  crime  organization  tries  convince  former  employee  liotta  seek  vengeance  co  workers
284,baazi,baazi  inspector  amar  damjee  discovers  terrifying  crime  street  saves  lives  bus  passengers  job  police  identify  terrorists  suddenly  commisioner  daughter  killed  homicide  framed  goes  jail  escapes  along  prisoners  accidently  prove  innocence  find  man  behind  also  parent  killer
285,raising cain,raising cain drama  horror  thriller  crime neighborhood  kids  begin  vanishing  jenny  suspects  child  psychologist  husband  carter  may  resuming  deranged  experiments  father  performed  young  falls  unravel  mystery  children  disappear  fears  safety
286,leo the last,leo the last drama  comedy prince  leo  last  line  rulers  long  deposed  monarchy  continental  europe  jaded  frenetic  search  kicks  european  jet  set  returns  father  london  town  house  rest
287,36 china town,36 china town comedy  thriller sonia  isha  koppikar  owner  casino  goa  successful  entrepreneur  love  life  son  toddler  suddenly  goes  missing  lady  distraught  distressed  offers  huge  reward  rs  25  lacs  anyone  trace  raj  shahid  kapoor  priya  kareena     two  strangers  different  backgrounds  accidentally  spot  child  decide  split  money  given  finally  reach  mansion  late  night  find  murdered  panic  escape  confusion  follows  forgets  suitcase  soon  chief  suspects  murder  cop  akshaye  khanna  realizes  open  shut  case  since  number  new  show  investigations
288,i do,i do comedy  romance life  easy  43  year  old  luis  happy  single  guy  fulfilled  job  star  nose  perfume  creation  company  cosseted  mother  five  sisters  could  lasted  whole  fed  mollycoddling  helping  decide  time  got  married  sooner  better
289,trevor noah: the daywalker,trevor noah: the daywalker comedy trevor  noah  stand  comedy
290,the eclipse,the eclipse drama  horror  romance michael  farr  hinds  widower  living  misty  irish  seaside  town  struggling  adjust  new  role  sole  caretaker  two  children  still  reeling  death  wife  plagued  terrifying  apparitions  volunteers  local  literary  festival  finds  drawn  lena  morelle  hjejle  )   empathetic  author  supernatural  fiction  hjelje  ).  tries  help  mystery  nightmarish  visions  must  contend  problems  —  ’  jealously  pursued  self  obsessed  novelist  quinn  one  time  lover  three  adults  lives  converge  turbulence  phantom  world  soon  nothing
291,porky's 3: revenge,porky's 3: revenge comedy graduation  nears  class  1955  angel  beach  high  gang  faces  old  enemy  porky  wants  throw  school  championship  basketball  game  since  bet  opposing  team
292,do the right thing,do the right thing drama hottest  day  year  street  bedford  stuyvesant  section  brooklyn  everyone  hate  bigotry  smolders  builds  explodes  violence
293,the great hypnotist,the great hypnotist thriller  drama  mystery famous  psychologist  xu  ruining  raising  career  met  troublesome  patient  ren  xiaoyan  meeting  easy  feeble  looking  point
294,the clown,the clown comedy  drama life  owners  circus  esperança  puro  sangue  e  pangaré  father  son  plays  two  clowns  certain  point  starts  showing  tiredness  sadness  unhappy  clown
295,ashley,ashley drama teenage  girl  distraught  vain  attempt  connect  estranged  mother  resorts  cutting  develops  online  relationship  older  woman  learns  accept  sexuality  endless  solitude  sprawling  suburbia
296,out to sea,out to sea comedy  romance care  free  charlie  walter  matthau  cons  widower  brother  law  herb  jack  lemmon  expenses  paid  luxury  cruise  search  rich  lonely  ladies  catch  required  dance  hosts  tyrannical  director  luscious  liz  lovely  vivian  heroes  lots  mis  adventures  finally  return  port
297,anotherworld,anotherworld drama  romance  foreign experimental  drama  entirely  composed  monologues  personal  journey  male  homosexuality  darkness  light  total  denial  complete  acceptance  told  performed  actors  adapted  interviews  ordinary  italian  gay  men  multicolored  kaleidoscopic  varied  multi  faceted  aspect  human  experience  rarely  represented  big  screen
298,you're never too young,you're never too young comedy aspiring  barber  becomes  inadvertently  involved  theft  valuable  diamond  necessity  forces  masquerade  12  year  old  child  humorous  consequences
299,castle freak,castle freak thriller  drama  horror  mystery john  inherited  castle  italy  moves  wife  susan  blind  daughter  rebecca  realize  somebody  else  abused  child  left  die  basement  become  freak  wreak  havoc
300,the dog problem,the dog problem comedy  romance film  solo  luck  writer  encouraged  psychiatrist  get  dog  meets  love  interest  assumes  owner  meeting  play  park  problems  stand  way
301,the deaths of ian stone,the deaths of ian stone horror  thriller deaths  tells  story  american  guy  murdered  day  horrifying  pursuers  wake  slightly  different  lives  experience  terror
302,the boy in blue,the boy in blue drama ned  hanlan  canada  successful  sculling  champion  turn  20th  century  dramatization  life  begins  youth  wild  young  man  informally  adopted  gambler  promotes  circuit  betting  boy  rowing  skills  solely  make  money  later  ruthless  businessman  named  knox  takes  career  realizes  dishonest  finds  another  manager  walter  inventor  first  honest  dealt  guidance  rises  great  success  world
303,mickey's christmas carol,mickey's christmas carol family  animation adaptation  charles  dickens  classic  christmas  carol  featuring  scrooge  mcduck  namesake  inspiration  ebenezer  mickey  mouse  bob  cratchit  film  based  1972  audio  musical  entitled  disney  twenty  four  minute  animated  short  produced  walt  productions  accompaniment  release  rescuers
304,northern soul,northern soul music  drama set  1974  authentic  uplifting  tale  two  friends  whose  horizons  opened  discovery  black  american  soul  music
305,a good man,a good man action illustrious  special  ops  career  ends  disaster  alexander  goes  grid  attempts  lead  quiet  life  handyman  apartment  complex  one  tenants  family  fall  thumb  russian  gangster  dragged  war  rival  chinese  gangs  forcing  defend  bringing  face  old  foe  giving  chance  reconcile  past
306,l'ange de goudron,l'ange de goudron drama following  directorial  debut  clandestins  --  desperate  refugees  stowing  away  ship  denis  chouinard  created  taut  thriller  immigrants  arrived  canada  shores  ahmed  kasmi  family  fled  algeria  week  getting  canadian  citizenship  teenaged  son  hafid  secretly  part  group  militants  breaks  immigration  office  deletes  databanks  worth  information  captured  security  cameras  act  broadcast  throughout  country  nightly  news  practicing  living  room  crushed  stupid  actions  wayward  heads  streets  montreal  search  discovers  entire  underworld  radical  activism  militancy  never  knew  existed  eventually  hooks  huguette  girlfriend  two  together  film  screened  2001  toronto  festival
